"4578","39294407","3296607"
"30","228590","3296608"
"170","1456533","3296609"
"141","1532277","3296610"
"2256","22096973","3296611"
"95","762038","3296612"
"5547","57417299","3296613"
"6414","90713526","3296614"
"489","3972044","3296615"
"510","5926380","3296616"
"1531","21436831","3296617"
"280","2851798","3296618"
"952","10364251","3296619"
"48","506068","3296620"
"170","2387965","3296621"
"104","1185304","3296622"
"235","2638471","3296623"
"4056","34760851","3296624"
"310","2875977","3296625"
"1150","9532596","3296626"
"1140","11903628","3296627"
"675","7781047","3296628"
"438","4795166","3296629"
"48","543854","3296630"
"21","171191","3296631"
"50","415822","3296632"
"172","2561744","3296633"
"178","1899901","3296634"
"4525","43931577","3296635"
"115","1120920","3296636"
"38","235879","3296637"
"235","2834806","3296638"
"370","3785091","3296639"
"248","2741464","3296640"
"67","750768","3296641"
"138","1263158","3296642"
"3311","38132086","3296643"
"66","672039","3296644"
"2816","31193772","3296645"
"2085","28288902","3296646"
"3147","30788789","3296647"
"7020","77164094","3296648"
"10072","101348876","3296649"
"930","9910495","3296650"
"17616","187690691","3296651"
"785","9298547","3296652"
"1529","15715233","3296653"
"627","5835777","3296654"
"3908","37078809","3296655"
"2349","25716479","3296656"
"725","7350294","3296657"
"3513","34117241","3296658"
"211","2060977","3296659"
"315","3492232","3296660"
"235","2834806","3296661"
"370","3785091","3296662"
"17616","187690691","3296663"
"5403","60399965","3296664"
"2919","28452446","3296665"
"1842","25357073","3296666"
"586","6605239","3296667"
"304","3851490","3296668"
"1132","11858118","3296669"
"10072","101348876","3296670"
"658","5679864","3296671"
"32","188640","3296672"
"7","62211","3296673"
"679","5848594","3296674"
"350","2670564","3296675"
"79","612682","3296676"
"91","750917","3296677"
"250","1865011","3296678"
"109","1085409","3296679"
"103","811703","3296680"
"215","1630048","3296681"
"56","440743","3296682"
"50","333221","3296683"
"553","5061348","3296684"
"18","110827","3296685"
"2110","13100456","3296686"
"15","130753","3296687"
"88","896456","3296688"
"57","354131","3296689"
"144","941033","3296690"
