"latitude","longitude","ID"
"2.345541","48.8508383","203"
"2.3448714","48.8495911","204"
"2.3436521","48.8473558","205"
"2.3433551","48.846796","206"
"2.3420496","48.8443318","207"
"2.3490085","48.8499851","208"
"2.3626942","48.851188","209"
"2.3371784","48.8576765","210"
"2.3353064","48.8578087","211"
"2.3304702","48.8544657","212"
"2.3286248","48.8518682","213"
"2.32414","48.8502335","214"
"2.3181564","48.8597994","215"
"2.3148365","48.8599661","216"
"2.3131081","48.8599548","217"
"2.3037705","48.8494246","218"
"2.3009297","48.8511732","219"
"2.2953648","48.8547095","220"
"2.2910099","48.857476","221"
"2.2976032","48.8617208","222"
"2.3014499","48.8618535","223"
"2.3001306","48.8576576","224"
"2.3485666","48.879398","225"
"2.338689","48.8691782","226"
"2.353766","48.865977","227"
"2.4059817","48.8145609","228"
"2.415316","48.8145365","229"
"2.4188442","48.8150748","230"
"2.3026724","48.8426289","231"
"2.3602744","48.8757867","232"
"2.3694867","48.8952424","233"
"2.3591307","48.8972601","234"
"2.3448325","48.8973872","235"
"2.3375759","48.8953189","236"
"2.3300973","48.8936232","237"
"2.3184911","48.8915685","238"
"2.3458868","48.8303332","239"
"2.36183","48.8330116","240"
"2.3621754","48.832738","241"
"2.3612128","48.8334904","242"
"2.3578455","48.8346292","243"
"2.3639379","48.8311288","244"
"2.1659382","48.9130298","245"
"2.1455126","48.914555","246"
"2.0448506","48.9127526","247"
"1.9929749","48.9270873","248"
"2.145508","48.9144849","249"
"2.2085094","48.905066","250"
"2.3257905","48.8739267","251"
"2.3242781","48.87525","252"
"2.3226225","48.8780545","253"
"2.2960232","48.8751368","254"
"2.2967736","48.8727892","255"
"2.2975047","48.8709454","256"
"2.2893662","48.8550699","257"
"2.2886492","48.8544184","258"
"2.2923353","48.8506961","259"
"2.4061085","48.8526951","260"
"2.4034875","48.8366973","261"
"2.3972957","48.832078","262"
"2.3672567","48.830024","263"
"2.3675311","48.8302063","264"
"2.3678437","48.8303829","265"
"2.3674946","48.8304324","266"
"2.3673258","48.8305555","267"
"2.3682909","48.8294737","268"
"2.3682425","48.8292969","269"
"2.3699127","48.8286332","270"
"2.2784754","48.851324","271"
"2.3151472","48.8579445","272"
"2.314733","48.8536931","273"
"2.3145185","48.8518154","274"
"2.3157894","48.8482836","275"
"2.4820619","48.8713775","276"
"2.6206742","48.9601147","277"
"2.4917091","48.7092596","278"
"2.4930627","48.7080552","279"
"2.4934488","48.7076077","280"
"2.4891769","48.7080744","281"
"2.4883219","48.7079804","282"
"2.488142","48.7079827","283"
"2.4880725","48.7072116","284"
"2.4838843","48.7069274","285"
"2.3624471","48.8249475","286"
"2.3792112","48.8296024","287"
"2.3839625","48.8288915","288"
"2.3720183","48.8553262","289"
"2.3044264","48.728082","290"
"2.2910356","48.7168112","291"
"2.2904681","48.7161047","292"
"2.2606655","48.7183109","293"
"2.2540186","48.7173465","294"
"2.2538077","48.7149734","295"
"2.2462461","48.7002003","296"
"2.2460732","48.7003052","297"
"2.2230017","48.6907275","298"
"2.2041042","48.6780503","299"
"2.2039623","48.6781334","300"
"2.3543526","48.81321","301"
"2.2816864","48.80112","302"
"2.2504863","48.8078194","303"
"2.2967655","48.7982989","304"
"2.3015874","48.8108097","305"
"2.3008156","48.8116833","306"
"2.2973418","48.8151929","307"
"2.3127846","48.8346361","308"
"2.2815637","48.8493805","309"
"2.2859896","48.8465559","310"
"2.2879873","48.8456473","311"
"2.293009","48.8436769","312"
"2.2950424","48.8428777","313"
"2.266359","48.8490106","314"
"2.136967","48.8675841","315"
"2.1454228","48.8679054","316"
"2.138005","48.8658676","317"
"2.145698","48.8777097","318"
"2.1600221","48.8882393","319"
"2.1608203","48.8902213","320"
"2.1831797","48.8823728","321"
"2.1836561","48.8820015","322"
"2.1890256","48.8738146","323"
"2.1904828","48.8731736","324"
"2.1954951","48.8708346","325"
"2.1973988","48.8697758","326"
"2.2120531","48.8618742","327"
"2.2137965","48.8596122","328"
"2.2052647","48.8602897","329"
"2.190789","48.8634543","330"
"2.1877867","48.8649879","331"
"2.1820641","48.8732778","332"
"2.1817264","48.8734337","333"
"2.1814062","48.8734319","334"
"2.173131","48.8772379","335"
"2.1687702","48.8753723","336"
"2.2180333","48.8628578","337"
"2.2239725","48.8682858","338"
"2.2343936","48.8649915","339"
"2.2460698","48.8603699","340"
"2.246159","48.8603283","341"
"2.3742867","48.8496144","342"
"2.3760104","48.8483496","343"
"2.3789541","48.8464578","344"
"2.3738604","48.8373662","345"
"2.3753779","48.8356807","346"
"2.3759776","48.8314623","347"
"2.3744489","48.8327433","348"
"2.3792978","48.827984","349"
"2.38535","48.8352923","350"
"2.3823697","48.8399472","351"
"2.3889828","48.8338856","352"
"2.3770055","48.8497714","353"
"2.3859363","48.8148279","354"
"2.3830441","48.8157722","355"
"2.3890628","48.8136216","356"
"2.3824561","48.8140543","357"
"2.3735822","48.8176025","358"
"2.3734551","48.819449","359"
"2.3749949","48.8182639","360"
"2.3794085","48.8169934","361"
"2.3790635","48.8199451","362"
"2.3758254","48.8223218","363"
"2.3726987","48.821565","364"
"2.3724742","48.8215326","365"
"2.3749153","48.8253668","366"
"2.3745964","48.8255743","367"
"2.371827","48.8258016","368"
"2.376404","48.8244059","369"
