"-74.0139012","40.7127177","6000002"
"-74.0138311","40.712689","6000003"
"-74.0137677","40.712662","6000004"
"-74.0137017","40.7126333","6000005"
"-74.0136363","40.7126082","6000006"
"-74.0135126","40.7125555","6000007"
"-74.0134489","40.7125278","6000008"
"-74.0133704","40.7124961","6000009"
"-74.0134033","40.7124493","6000010"
"-74.0134579","40.7124735","6000011"
"-74.013807","40.7126181","6000012"
"-74.0136641","40.7125573","6000013"
"-74.0136058","40.7125332","6000014"
"-74.0135468","40.712509","6000015"
"-74.0138157","40.7125484","6000016"
"-74.0137141","40.7125075","6000017"
"-74.0136081","40.712462","6000018"
"-74.0134963","40.7124146","6000019"
"-74.013443","40.7123923","6000020"
"-74.0143293","40.7025759","6000021"
"-74.0143991","40.7026425","6000022"
"-74.0145094","40.7029624","6000023"
"-74.0144666","40.7028738","6000024"
"-74.0145495","40.7028595","6000025"
"-74.0145861","40.7029474","6000026"
"-74.014613","40.7030317","6000027"
"-74.0146221","40.7031189","6000028"
"-74.0146372","40.7032057","6000029"
"-74.0146479","40.7032956","6000030"
"-74.0145894","40.7032918","6000031"
"-74.0145847","40.703379","6000032"
"-74.0145697","40.7034621","6000033"
"-74.0146289","40.7034717","6000034"
"-74.0146074","40.7035575","6000035"
"-74.0145212","40.7037091","6000036"
"-74.0145092","40.7037809","6000037"
"-74.0151253","40.7046474","6000038"
"-74.0152124","40.7046669","6000039"
"-74.0152895","40.7046815","6000040"
"-74.0153843","40.7046975","6000041"
"-74.0154666","40.7047094","6000042"
"-74.0155561","40.7047212","6000043"
"-74.0157844","40.7047302","6000044"
"-74.0158756","40.7047292","6000045"
"-74.0159588","40.7047236","6000046"
"-74.0160379","40.7047164","6000047"
"-74.0161142","40.7047103","6000048"
"-74.0161968","40.7047033","6000049"
"-74.0163095","40.7046972","6000050"
"-74.016402","40.7046952","6000051"
"-74.0165428","40.7046906","6000052"
"-74.0148741","40.7012107","6000053"
"-74.0149167","40.7011621","6000054"
"-74.014961","40.7011113","6000055"
"-74.0145097","40.7020081","6000056"
"-74.0144755","40.701974","6000057"
"-74.0144487","40.7019099","6000058"
"-74.0141577","40.7020421","6000059"
"-74.0141422","40.7019847","6000060"
"-74.0141181","40.7017315","6000061"
"-74.0141268","40.7017839","6000062"
"-74.0141308","40.701854","6000063"
"-74.0141872","40.701881","6000064"
"-74.0141221","40.7016908","6000065"
"-74.0141161","40.7016532","6000066"
"-74.0141188","40.7015577","6000067"
"-74.0141268","40.7015261","6000068"
"-74.0141563","40.7015094","6000069"
"-74.0142321","40.7015058","6000070"
"-74.0143877","40.7013868","6000071"
"-74.0143307","40.701365","6000072"
"-74.0142475","40.7013507","6000073"
"-74.0141959","40.7013945","6000074"
"-74.0142824","40.701398","6000075"
"-74.0143514","40.7014326","6000076"
"-74.014556","40.7015414","6000077"
"-74.0144728","40.7014992","6000078"
"-74.0144728","40.7014351","6000079"
"-74.0144809","40.7016888","6000080"
"-74.0145472","40.7017483","6000081"
"-74.0146767","40.701669","6000082"
"-74.0145962","40.7015571","6000083"
"-74.014686","40.7015943","6000084"
"-74.0147182","40.7016044","6000085"
"-74.0147719","40.7016156","6000086"
"-74.0146746","40.7014651","6000087"
"-74.0147558","40.7015002","6000088"
"-74.0148021","40.7015358","6000089"
"-74.0148101","40.7015551","6000090"
